emp_id,name,age,gender,city,department,education,experience_yrs,salary,salary_band,phone,performance_rating,is_active,is_active_was_missibg
EMP00237,Chris Brown,30,Unknown,Mumbai,Engineering,M.Sc,31.0,77620.07,Mid,Unknown,4,True,0
EMP00238,Swati Reddy,30,Male,Hyderabad,Engineering,Bca,5.0,63251.66,Mid,9744043172,3,False,0
EMP00239,Sophia Gupta,48,Male,Kolkata,Sales,B.Tech,26.0,75345.63,Mid,Unknown,4,True,0
EMP00240,Anna Nair,38,Unknown,Kolkata,IT,M.Tech,12.0,75409.67,Unknown,6804902813,3,False,0
EMP00241,Lisa Nair,29,Unknown,Surat,Sales,M.Tech,22.0,77303.17,Mid,6940840662,2,True,0
EMP00242,Chris Brown,37,Other,Bangalore,HR,B.Tech,9.0,80239.74,High,+91-8685693151,4,False,0
EMP00243,Aarav Nair,39,Other,Hyderabad,Engineering,Mba,13.0,105367.5,High,8437087681,5,True,0
EMP00244,Emily Smith,54,Unknown,Hyderabad,IT,B.Tech,2.0,122682.0,High,9553570794,2,True,0
EMP00245,Lisa Brown,22,Unknown,Hyderabad,IT,Phd,11.0,68309.6,Mid,9979945965,5,True,0
EMP00246,Lisa Gupta,33,Unknown,Ahmedabad,Engineering,B.Tech,24.0,43167.18,Mid,6703621195,2,True,0
EMP00247,Vikram Nair,27,Male,Delhi,Legal,M.Sc,0.0,84624.36,High,Unknown,4,True,0
EMP00248,Lisa Singh,26,Unknown,Bangalore,Finance,Mba,31.0,71654.83,Mid,6996963106,5,True,0
EMP00249,Amit Patel,37,Male,Mumbai,Engineering,Mba,23.0,70547.84,Mid,9271696630,2,True,0
EMP00250,Anna Garcia,39,Male,Bangalore,Engineering,B.Tech,8.0,34723.16,Low,XXXXXXXXXX,3,True,0
EMP00251,Meera Iyer,39,Male,Jaipur,Operations,B.Tech,0.0,77465.0,Mid,9149856222,3,True,0
